Date : 2021-04-19 16:07:07
Directory : d:\horizon\server
Total : 121 files,  27416 codes, 1803 comments, 1961 blanks, all 31180 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         67 |     11,809 |      1,118 |      1,648 |     14,575 |
| XML        |         12 |      6,470 |         26 |         14 |      6,510 |
| JSON       |          2 |      4,383 |          0 |          2 |      4,385 |
| HTML       |          6 |      3,869 |        465 |        177 |      4,511 |
| JavaScript |         34 |        885 |        194 |        120 |      1,199 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                           |        121 |     27,416 |      1,803 |      1,961 |     31,180 |
| controllers                                                 |          1 |         74 |         58 |         19 |        151 |
| firebase                                                    |          1 |          0 |          0 |          1 |          1 |
| models                                                      |          3 |        142 |          3 |          8 |        153 |
| public                                                      |         53 |      9,559 |        619 |        885 |     11,063 |
| public\assets                                               |         53 |      9,559 |        619 |        885 |     11,063 |
| public\assets\css                                           |         34 |      6,044 |        559 |        845 |      7,448 |
| public\assets\css\colors                                    |         19 |      2,122 |        342 |        324 |      2,788 |
| public\assets\fonts                                         |          5 |      3,227 |         12 |          5 |      3,244 |
| public\assets\img                                           |          1 |          8 |          1 |          2 |         11 |
| public\assets\js                                            |         13 |        280 |         47 |         33 |        360 |
| routes                                                      |          1 |         10 |          0 |          5 |         15 |
| schema                                                      |          1 |         38 |          2 |          7 |         47 |
| views                                                       |         57 |     13,131 |      1,084 |      1,020 |     15,235 |
| views\assets                                                |         51 |      9,262 |        619 |        843 |     10,724 |
| views\assets\css                                            |         33 |      5,765 |        559 |        803 |      7,127 |
| views\assets\css\colors                                     |         19 |      2,122 |        342 |        324 |      2,788 |
| views\assets\fonts                                          |          5 |      3,227 |         12 |          5 |      3,244 |
| views\assets\img                                            |          1 |          8 |          1 |          2 |         11 |
| views\assets\js                                             |         12 |        262 |         47 |         33 |        342 |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                    | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\horizon\server\app.js                                    | JavaScript |         55 |         37 |         10 |        102 |
| d:\horizon\server\controllers\horizon.js                    | JavaScript |         74 |         58 |         19 |        151 |
| d:\horizon\server\data.js                                   | JavaScript |         24 |          0 |          4 |         28 |
| d:\horizon\server\firebase\firebase.conf.js                 | JavaScript |          0 |          0 |          1 |          1 |
| d:\horizon\server\models\Blog.js                            | JavaScript |         29 |          1 |          2 |         32 |
