Date : 2021-10-16 20:29:02
Directory : d:\horizon
Total : 619 files,  87486 codes, 3481 comments, 5520 blanks, all 96487 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
+-----------------------+------------+------------+------------+------------+------------+
| JSON                  |         98 |     44,428 |        112 |         52 |     44,592 |
| JavaScript            |        304 |     15,604 |      1,286 |      2,158 |     19,048 |
| CSS                   |        110 |     15,540 |        717 |      2,000 |     18,257 |
| HTML                  |         40 |      7,170 |      1,071 |        645 |      8,886 |
| JavaScript React      |         18 |      3,952 |        181 |        509 |      4,642 |
| SQL                   |          4 |        280 |         37 |         68 |        385 |
| Prisma                |          4 |        156 |          0 |         22 |        178 |
| SCSS                  |          4 |        135 |         65 |         39 |        239 |
| XML                   |         29 |        119 |          1 |          4 |        124 |
| Environment Variables |          3 |         31 |          4 |          2 |         37 |
| YAML                  |          1 |         26 |          0 |          1 |         27 |
| Docker                |          1 |         25 |          7 |         12 |         44 |
| Markdown              |          1 |         13 |          0 |          7 |         20 |
| Ignore                |          2 |          7 |          0 |          1 |          8 |
+-----------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        619 |     87,486 |      3,481 |      5,520 |     96,487 |
| admin                                                                            |         85 |     26,637 |        873 |        906 |     28,416 |
| admin2                                                                           |        392 |     31,506 |        392 |      2,192 |     34,090 |
| admin2\assets                                                                    |         30 |        309 |          0 |          6 |        315 |
| admin2\assets\icons                                                              |          4 |        282 |          0 |          6 |        288 |
| admin2\components                                                                |        162 |      7,095 |        120 |        921 |      8,136 |
| admin2\components\common                                                         |         48 |      1,894 |          0 |        285 |      2,179 |
| admin2\components\content                                                        |         10 |        225 |          0 |         34 |        259 |
| admin2\components\forms                                                          |         16 |      1,057 |        103 |        115 |      1,275 |
| admin2\components\helpers                                                        |          2 |         77 |          0 |         15 |         92 |
| admin2\components\layout                                                         |         19 |        611 |         10 |         97 |        718 |
| admin2\components\metrics                                                        |         38 |      1,875 |          5 |        228 |      2,108 |
| admin2\components\pages                                                          |         12 |        735 |          1 |         78 |        814 |
| admin2\components\settings                                                       |         16 |        607 |          1 |         65 |        673 |
| admin2\data                                                                      |          3 |        122 |          2 |          6 |        130 |
